"addr1";"addr2";"areacode";"booktour";"cat1";"cat2";"cat3";"contentid";"contenttypeid";"createdtime";"firstimage";"firstimage2";"cpyrhtDivCd";"mapx";"mapy";"mlevel";"modifiedtime";"sigungucode";"tel";"title";"zipcode";"visitNo"
"제주시 건입동";"";"39";"0";"A01";"A0101";"A01010900";"1069322";"12";"20100805195206";"http://tong.visitkorea.or.kr/cms/resource/04/1938304_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/04/1938304_image3_1.jpg";"Type3";"126.5299610984";"33.5162064090";"6";"20231205174044";"4";"";"산지천";"690-050,1";0
"동구 용연동 산354-1";"";"5";"0";"A01";"A0102";"A01020200";"1074432";"12";"20100816201551";"http://tong.visitkorea.or.kr/cms/resource/23/3029123_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/23/3029123_image3_1.jpg";"Type3";"126.9989650099";"35.1200598333";"6";"20240319162859";"3";"";"무등산 주상절리대";"61512";0
"대덕구 동춘당로 80 (송촌동)";"";"3";"";"A02";"A0207";"A02070200";"1079577";"15";"20100824231511";"http://tong.visitkorea.or.kr/cms/resource/82/3111282_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/82/3111282_image3_1.jpg";"Type3";"127.4412987135";"36.3648816382";"6";"20240322150454";"1";"042-627-7517";"동춘당 문화제";"34402";0
"군산시 옥도면 선유도3길 52-4";"";"37";"0";"A02";"A0202";"A02020800";"1081865";"12";"20100827025512";"http://tong.visitkorea.or.kr/cms/resource/35/2689635_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/35/2689635_image3_1.jpg";"Type3";"126.4161796156";"35.8235812888";"6";"20240118103622";"2";"";"새만금유람선";"54000";0
"양구군 국토정중앙면 가오작리";"산1-1";"32";"0";"A01";"A0101";"A01010600";"1089831";"12";"20100910025753";"http://tong.visitkorea.or.kr/cms/resource/09/1813309_image2_1.JPG";"http://tong.visitkorea.or.kr/cms/resource/09/1813309_image2_1.JPG";"Type3";"128.0712266960";"38.1436183911";"6";"20240123140235";"6";"";"광치자연휴양림";"24552";0
"동작구 여의대방로20길 33";"";"1";"0";"A02";"A0203";"A02030400";"1091608";"12";"20100914225216";"http://tong.visitkorea.or.kr/cms/resource/39/1095139_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/39/1095139_image3_1.jpg";"Type3";"126.9172397911";"37.4929339232";"6";"20231113120635";"12";"";"보라매안전체험관";"07062";0
"종로구 세종대로 175 (세종로)";"광화문광장";"1";"";"A02";"A0207";"A02070200";"1095732";"15";"20100917185413";"http://tong.visitkorea.or.kr/cms/resource/85/3037185_image2_1.png";"http://tong.visitkorea.or.kr/cms/resource/85/3037185_image3_1.png";"Type3";"126.9763210635";"37.5720618985";"6";"20240206130654";"23";"02-3788-8168";"서울 빛초롱 축제";"03172";0
"고양시 일산동구 호수로 595";"";"31";"";"A02";"A0207";"A02070200";"1100492";"15";"20100928195707";"http://tong.visitkorea.or.kr/cms/resource/78/2986478_image2_1.JPG";"http://tong.visitkorea.or.kr/cms/resource/78/2986478_image3_1.JPG";"Type3";"126.7686654803";"37.6538792239";"6";"20240206130654";"2";"1588-7766";"고양호수예술축제";"10400";0
"부여군 규암면 백제문로 455";"";"34";"0";"A02";"A0202";"A02020200";"1103949";"12";"20101005191024";"http://tong.visitkorea.or.kr/cms/resource/49/2366349_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/49/2366349_image3_1.jpg";"Type3";"126.9067759265";"36.3065816893";"6";"20230306144441";"6";"";"백제문화단지";"33115";0
"가평군 가평읍 호반로 2540";"";"31";"0";"A02";"A0205";"A02050200";"1104176";"12";"20101006023757";"http://tong.visitkorea.or.kr/cms/resource/84/2480684_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/84/2480684_image2_1.jpg";"Type3";"127.5157483134";"37.8126354086";"6";"20230802194510";"1";"";"가평 현충탑";"12422";0
"군위군 효령면 용매로 788";"";"4";"";"A05";"A0502";"A05020700";"1104481";"39";"20101007015329";"http://tong.visitkorea.or.kr/cms/resource/40/1969240_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/40/1969240_image3_1.jpg";"Type3";"128.5957788579";"36.0847289836";"6";"20230712142058";"9";"054-382-6337";"기러기농장가든";"39038";0
"고양시 일산동구 호수로 731";"(장항동)";"31";"0";"A02";"A0206";"A02060300";"1105623";"14";"20101009011521";"http://tong.visitkorea.or.kr/cms/resource/38/3077038_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/38/3077038_image3_1.jpg";"Type3";"126.7604214919";"37.6644445137";"6";"20231229142430";"2";"";"고양 선인장전시관";"10400";0
"금천구 시흥대로73길 70 금천구청종합청사";"";"1";"0";"A02";"A0206";"A02060600";"1105871";"14";"20101011192041";"http://tong.visitkorea.or.kr/cms/resource/20/1865220_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/20/1865220_image3_1.jpg";"Type3";"126.8955205706";"37.4564933229";"6";"20231211161646";"8";"";"금나래아트홀";"08611";0
"금천구 독산로54길 114";"(독산동)";"1";"0";"A02";"A0206";"A02060900";"1105911";"14";"20101011201037";"http://tong.visitkorea.or.kr/cms/resource/04/1865704_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/04/1865704_image3_1.jpg";"Type3";"126.9080691173";"37.4675589284";"6";"20231205161102";"8";"";"금천구립독산도서관";"08560";0
"금천구 가산로5길 43";"(가산동)";"1";"0";"A02";"A0206";"A02060900";"1105923";"14";"20101011202558";"http://tong.visitkorea.or.kr/cms/resource/51/1865751_image2_1.jpg";"http://tong.visitkorea.or.kr/cms/resource/51/1865751_image3_1.jpg";"Type3";"126.8921037384";"37.4734829558";"6";"20231205161019";"8";"";"금천구립가산도서관";"08521";0
